Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
Zheng et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.9b01783,"Downshifting particles, also interlayer free",08/10/2019,2019,homojunction,,,,,,,,,,,,,,,,,,,,,,,inter-layer free,None,None,,,,,,,,,,,,,,Ti/Pd/Ag,Ti/Pd/Ag,0,,,,,,,,n-i-p,,,,-,-,4,MoOx,,,ITO,100,100,,,,,,,Forward,,,,,22.5,,,No,,,,,,,,,
Zheng et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.9b01783,"Downshifting particles, also interlayer free",08/10/2019,2019,homojunction,,,,,,,,,,,,,,,,,,,,,,,inter-layer free,None,None,,,,,,,,,,,,,,Ti/Pd/Ag,Ti/Pd/Ag,0,,,,,,,,n-i-p,,,,-,-,4,MoOx,,,ITO,100,100,,,,,,,Reverse,,,,,23.1,,,No,,,,,,,,,
Zheng et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.9b01783,"Downshifting particles, also interlayer free",08/10/2019,2019,homojunction,,,,,,,,,,,,,,,,,,,,,,,inter-layer free,None,None,,,,,,,,,,,,,,Ti/Pd/Ag,Ti/Pd/Ag,0,,,,,,,,n-i-p,,,,-,-,4,MoOx,,,ITO,100,100,,,,,,,Tracking,,,,,23,,,No,,,,,,,,,
An et al.,https://www.sciencedirect.com/science/article/pii/S0038092X1931254X,Cerium-doped In2O3,21/12/2019,2019,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,80,,,,,,,,,,,,,,Al,ITO/Al,Not clear,,,,,,,,n-i-p,,,,-,not clear,Not clear,MoOx,,,ITO,100,100,,,,,,,Forward,,,,,18.24,,,No,,,,,,,,,
An et al.,https://www.sciencedirect.com/science/article/pii/S0038092X1931254X,Cerium-doped In2O3,21/12/2019,2019,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,80,,,,,,,,,,,,,,Al,ITO/Al,Not clear,,,,,,,,n-i-p,,,,-,not clear,Not clear,MoOx,,,ITO,100,100,,,,,,,Reverse,,,,,18.81,,,No,,,,,,,,,
An et al.,https://www.sciencedirect.com/science/article/pii/S0038092X1931254X,Cerium-doped In2O3,21/12/2019,2019,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,80,,,,,,,,,,,,,,Al,ITO/Al,Not clear,,,,,,,,n-i-p,,,,-,not clear,Not clear,MoOx,,,ICO,100,100,,,,,,,Forward,,,,,19.98,,,No,,,,,,,,,
An et al.,https://www.sciencedirect.com/science/article/pii/S0038092X1931254X,Cerium-doped In2O3,21/12/2019,2019,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,80,,,,,,,,,,,,,,Al,ITO/Al,Not clear,,,,,,,,n-i-p,,,,-,not clear,Not clear,MoOx,,,ICO,100,100,,,,,,,Forward,,,,,20.08,,,No,,,,,,,,,
Chen et al.,https://www.sciencedirect.com/science/article/pii/S2542435120300350,Blade-coated perovskites on textured silicon,24/01/2020,2020,SHJ,n-type,Not clear,Not clear,Not clear,Not clear,Rear,Textured,Nano-textured,,KOH,,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,200,20,,,,,,,a-Si:H(i),Yes,PECVD,Ag,ITO/Ag,20,200,Before,Sputtering,,,,,p-i-n,C60,PTAA,,2.56,0.49,0.4225,SnO2,ITO/Ag,Ag,ITO,60,60,sputtering,500,Yes,130,Not clear,evaporation,Forward - ARF,,1820,19.2,74.4,26,19.4,19.3,No,,,,,,,,,
Chen et al.,https://www.sciencedirect.com/science/article/pii/S2542435120300350,Blade-coated perovskites on textured silicon,24/01/2020,2020,SHJ,n-type,Not clear,Not clear,Not clear,Not clear,Rear,Textured,Nano-textured,,KOH,,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,200,20,,,,,,,a-Si:H(i),Yes,PECVD,Ag,ITO/Ag,20,200,Before,Sputtering,,,,,p-i-n,C60,PTAA,,2.56,0.49,0.4225,SnO2,ITO/Ag,Ag,ITO,60,60,sputtering,500,Yes,130,Not clear,evaporation,Reverse - ARF,,1820,19.2,75.3,26.2,19.4,19.3,No,,,,,,,,,
Chen et al.,https://www.sciencedirect.com/science/article/pii/S2542435120300350,Blade-coated perovskites on textured silicon,24/01/2020,2020,SHJ,n-type,Not clear,Not clear,Not clear,Not clear,Rear,Textured,Nano-textured,,KOH,,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,200,20,,,,,,,a-Si:H(i),Yes,PECVD,Ag,ITO/Ag,20,200,Before,Sputtering,,,,,p-i-n,C60,PTAA,,2.56,0.49,0.4225,SnO2,ITO/Ag,Ag,ITO,60,60,sputtering,500,Yes,130,Not clear,evaporation,Tracking,,,,,26.1,19.4,19.3,No,,,,,,,,,
Hou et al.,https://www.science.org/doi/10.1126/science.aaz3691,Solution-processed perovskite on textured silicon,06/03/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,InOx,40,sputtering,Not clear,200,10,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,LiF/C60,NiOx,,6.25,-,0.83,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,250,Yes,Not clear,Not clear,evaporation,Forward,1.68,1780,19.07,75.36,25.58,19.2,19.3,Yes,,,,,,,,,
Hou et al.,https://www.science.org/doi/10.1126/science.aaz3691,Solution-processed perovskite on textured silicon,06/03/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,InOx,40,sputtering,Not clear,200,10,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,LiF/C60,NiOx,,6.25,-,0.83,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,250,Yes,Not clear,Not clear,evaporation,Reverse,1.68,1793,19.08,73.66,25.19,19.2,19.3,Yes,,,,,,,,,
Hou et al.,https://www.science.org/doi/10.1126/science.aaz3691,Solution-processed perovskite on textured silicon,06/03/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,InOx,40,sputtering,Not clear,200,10,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,LiF/C60,NiOx,,6.25,-,0.83,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,250,Yes,Not clear,Not clear,evaporation,Tracking,1.68,,,,25.71,19.2,19.3,Yes,,,,,,,,,
Xu et al.,https://www.science.org/doi/10.1126/science.aaz5074,Triple-halide wide–band gap perovskites,06/03/2020,2020,SHJ,n-type,FZ,DSP,Not clear,250,Rear,Textured,Planar,,,,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,,,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,200,Before,Sputtering,,,,,p-i-n,LiF/C60,NiOx/PolyTPD,,-,1.21,1,SnO2/ZTO,ITO/Ag,Ag,ITO,60,60,sputtering,3000,Yes,25,2.5,evaporation,Forward - ARF,1.67,,,,26.94,19.9,19.3,No,,,,,,,,,
Xu et al.,https://www.science.org/doi/10.1126/science.aaz5074,Triple-halide wide–band gap perovskites,06/03/2020,2020,SHJ,n-type,FZ,DSP,Not clear,250,Rear,Textured,Planar,,,,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,,,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,200,Before,Sputtering,,,,,p-i-n,LiF/C60,NiOx/PolyTPD,,-,1.21,1,SnO2/ZTO,ITO/Ag,Ag,ITO,60,60,sputtering,3000,Yes,25,2.5,evaporation,Reverse - ARF,1.67,1886,19.12,75.3,27.13,19.9,19.3,No,,,,,,,,,
Xu et al.,https://www.science.org/doi/10.1126/science.aaz5074,Triple-halide wide–band gap perovskites,06/03/2020,2020,SHJ,n-type,FZ,DSP,Not clear,250,Rear,Textured,Planar,,,,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,,,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,200,Before,Sputtering,,,,,p-i-n,LiF/C60,NiOx/PolyTPD,,-,1.21,1,SnO2/ZTO,ITO/Ag,Ag,ITO,60,60,sputtering,3000,Yes,25,2.5,evaporation,Tracking,1.67,,,,27.04,19.9,19.3,No,,,,,,,,,
Xu et al.,https://www.science.org/doi/10.1126/science.aaz5074,Triple-halide wide–band gap perovskites,06/03/2020,2020,SHJ,n-type,FZ,DSP,Not clear,250,Rear,Textured,Planar,,,,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,,,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,200,Before,Sputtering,,,,,p-i-n,LiF/C60,NiOx/PolyTPD,,-,1.21,1,SnO2/ZTO,ITO/Ag,Ag,ITO,60,60,sputtering,3000,Yes,25,2.5,evaporation,Tracking,1.67,,,,25.8,19.9,19.3,Yes,,,,,,,,,
Kim et al.,https://www.science.org/doi/10.1126/science.aba3433,Wide-bandgap perovskite anion-engineering,23/03/2020,2020,SHJ,n-type,FZ,DSP,3,300,Rear,Textured,Planar,,,,RCA + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,Not clear,PECVD,recombination,ITO,20,sputtering,Not clear,,,,,,,,,Not clear,No,PECVD,Ag,ITO/Ag,80,300,Before,evaporation,,,,,p-i-n,C60/PEIE,PTAA,,-,-,0.188,PEIE,ITO/Ag,Ag,ITO,Not clear,Not clear,sputtering,150,None,None,None,evaporation,Forward,1.68,1756,19.2,79.2,26.7,18.89,19.13,No,,,,,,,,,
Kim et al.,https://www.science.org/doi/10.1126/science.aba3433,Wide-bandgap perovskite anion-engineering,23/03/2020,2020,SHJ,n-type,FZ,DSP,3,300,Rear,Textured,Planar,,,,RCA + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,Not clear,PECVD,recombination,ITO,20,sputtering,Not clear,,,,,,,,,Not clear,No,PECVD,Ag,ITO/Ag,80,300,Before,evaporation,,,,,p-i-n,C60/PEIE,PTAA,,-,-,0.188,PEIE,ITO/Ag,Ag,ITO,Not clear,Not clear,sputtering,150,None,None,None,evaporation,Reverse,1.68,1756,19.2,79.2,26.7,18.89,19.13,No,,,,,,,,,
Kim et al.,https://www.science.org/doi/10.1126/science.aba3433,Wide-bandgap perovskite anion-engineering,23/03/2020,2020,SHJ,n-type,FZ,DSP,3,300,Rear,Textured,Planar,,,,RCA + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,Not clear,PECVD,recombination,ITO,20,sputtering,Not clear,,,,,,,,,Not clear,No,PECVD,Ag,ITO/Ag,80,300,Before,evaporation,,,,,p-i-n,C60/PEIE,PTAA,,-,-,0.188,PEIE,ITO/Ag,Ag,ITO,Not clear,Not clear,sputtering,150,None,None,None,evaporation,Tracking,1.68,,,,26.5,18.89,19.13,No,,,,,,,,,
Kim et al.,https://www.science.org/doi/10.1126/science.aba3433,Wide-bandgap perovskite anion-engineering,23/03/2020,2020,SHJ,n-type,FZ,DSP,3,300,Rear,Textured,Planar,,,,RCA + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,Not clear,PECVD,recombination,ITO,20,sputtering,Not clear,,,,,,,,,Not clear,No,PECVD,Ag,ITO/Ag,80,300,Before,evaporation,,,,,p-i-n,C60/PEIE,PTAA,,-,-,1.001,PEIE,ITO/Ag,Ag,ITO,Not clear,Not clear,sputtering,150,None,None,None,evaporation,Tracking,1.68,,,,26.2,18.89,19.13,Yes,,,,,,,,,
Schulze et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202000152,P-type silicon heterojunction bottom cell,08/05/2020,2020,SHJ,p-type,FZ,Not clear,1,250,Front,Textured,Planar,,KOH,,RCA + HF dip,a-Si:H(n),Not clear,PECVD,Not clear,a-Si:H(p),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,sputtering,Not clear,,,,,,,,,a-Si:H(i),Yes,PECVD,Ag,ITO/Ag,195,1000,Before,Not clear,,,,,p-i-n,C60,PTAA,chop saw,6.25,0.36,0.25,SnO2,ITO/Ag,Ag,ITO,70,70,sputtering,170,No,None,None,evaporation,Forward,1.68,1774,17.6,74.5,23.3,19.3,17.7,Yes,,,,,,,,,
Schulze et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202000152,P-type silicon heterojunction bottom cell,08/05/2020,2020,SHJ,p-type,FZ,Not clear,1,250,Front,Textured,Planar,,KOH,,RCA + HF dip,a-Si:H(n),Not clear,PECVD,Not clear,a-Si:H(p),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,sputtering,Not clear,,,,,,,,,a-Si:H(i),Yes,PECVD,Ag,ITO/Ag,195,1000,Before,Not clear,,,,,p-i-n,C60,PTAA,chop saw,6.25,0.36,0.25,SnO2,ITO/Ag,Ag,ITO,70,70,sputtering,170,No,None,None,evaporation,Reverse,1.68,1770,17.7,80.3,25.1,19.3,17.7,Yes,,,,,,,,,
Schulze et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202000152,P-type silicon heterojunction bottom cell,08/05/2020,2020,SHJ,p-type,FZ,Not clear,1,250,Front,Textured,Planar,,KOH,,RCA + HF dip,a-Si:H(n),Not clear,PECVD,Not clear,a-Si:H(p),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,sputtering,Not clear,,,,,,,,,a-Si:H(i),Yes,PECVD,Ag,ITO/Ag,195,1000,Before,Not clear,,,,,p-i-n,C60,PTAA,chop saw,6.25,0.36,0.25,SnO2,ITO/Ag,Ag,ITO,70,70,sputtering,170,No,None,None,evaporation,Tracking,1.68,,,,25.1,19.3,17.7,Yes,,,,,,,,,
Subbiah et al.,https://pubs.acs.org/doi/full/10.1021/acsenergylett.0c01297,Textured silicon bottom-cell and slot-die-coated perovskite,11/08/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,40,sputtering,Not clear,200,10,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,C60,NiOx/PTAA,,-,-,1,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,250,No,None,None,evaporation,Forward,1.68,1760,19.2,70,23.8,17.84,17.05,No,,,,,,,,,
Subbiah et al.,https://pubs.acs.org/doi/full/10.1021/acsenergylett.0c01297,Textured silicon bottom-cell and slot-die-coated perovskite,11/08/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,40,sputtering,Not clear,200,10,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,C60,NiOx/PTAA,,-,-,1,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,250,No,None,None,evaporation,Reverse,1.68,1760,19.2,70,23.8,17.84,17.05,No,,,,,,,,,
Subbiah et al.,https://pubs.acs.org/doi/full/10.1021/acsenergylett.0c01297,Textured silicon bottom-cell and slot-die-coated perovskite,11/08/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,40,sputtering,Not clear,200,10,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,C60,NiOx/PTAA,,-,-,1,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,250,No,None,None,evaporation,Tracking,1.68,,,,24.05,17.84,17.05,No,,,,,,,,,
Aydin et al.,https://www.nature.com/articles/s41560-020-00687-4,Outdoor performance study,14/09/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(n/p),Not clear,PVD,Not clear,,,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,C60,Spiro-TTB,,-,-,0.8317,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,200,Yes,Not clear,Not clear,evaporation,Forward,1.63,1731,19.8,71.8,24.6,19.8,19.8,Yes,,,,,,,,,
Aydin et al.,https://www.nature.com/articles/s41560-020-00687-4,Outdoor performance study,14/09/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(n/p),Not clear,PVD,Not clear,,,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,C60,Spiro-TTB,,-,-,0.8317,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,200,Yes,Not clear,Not clear,evaporation,Reverse,1.63,1734,19.8,73.1,25.1,19.8,19.8,Yes,,,,,,,,,
Aydin et al.,https://www.nature.com/articles/s41560-020-00687-4,Outdoor performance study,14/09/2020,2020,SHJ,n-type,FZ,Not clear,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(n/p),Not clear,PVD,Not clear,,,,,,,,,a-Si:H(i),None,PECVD,Ag,ITO/Ag,150,250,Before,Sputtering,,,,,p-i-n,C60,Spiro-TTB,,-,-,0.8317,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,200,Yes,Not clear,Not clear,evaporation,Tracking,1.63,,,,24.99,19.8,19.8,Yes,,,,,,,,,
Al-Ashouri et al.,https://www.science.org/doi/abs/10.1126/science.abd4016,SAM as HTL and conversion efficiency over 29%,11/12/2020,2020,SHJ,n-type,FZ,DSP,3,260,Rear,Textured,Planar,SiO2,,HF dip,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,,,,,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,Not clear,Not clear,Before,Sputtering,,,,,p-i-n,LiF/C60,2PACz,,-,1.27,1.08,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,Not clear,None,None,None,evaporation,Forward,1.68,1900,19.23,79.4,29,20.18,19.41,Yes,,,,,,,,,
Al-Ashouri et al.,https://www.science.org/doi/abs/10.1126/science.abd4016,SAM as HTL and conversion efficiency over 29%,11/12/2020,2020,SHJ,n-type,FZ,DSP,3,260,Rear,Textured,Planar,SiO2,,HF dip,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,,,,,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,Not clear,Not clear,Before,Sputtering,,,,,p-i-n,LiF/C60,2PACz,,-,1.27,1.08,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,Not clear,None,None,None,evaporation,Reverse,1.68,1890,19.24,78.85,28.75,20.18,19.41,Yes,,,,,,,,,
Al-Ashouri et al.,https://www.science.org/doi/abs/10.1126/science.abd4016,SAM as HTL and conversion efficiency over 29%,11/12/2020,2020,SHJ,n-type,FZ,DSP,3,260,Rear,Textured,Planar,SiO2,,HF dip,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,,,,,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,Not clear,Not clear,Before,Sputtering,,,,,p-i-n,LiF/C60,2PACz,,-,1.27,1.08,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,Not clear,None,None,None,evaporation,Tracking,1.68,,,,29.15,20.18,19.41,Yes,,,,,,,,,
Al-Ashouri et al.,https://www.science.org/doi/abs/10.1126/science.abd4016,"SAM as HTL and conversion efficiency over 29%, LiF between C60 and pvk",11/12/2020,2020,SHJ,n-type,FZ,DSP,3,260,Rear,Textured,Planar,SiO2,,HF dip,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,,,,,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,Not clear,Not clear,Before,Sputtering,,,,,p-i-n,LiF/C60,2PACz,,-,1.27,1.08,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,Not clear,None,None,None,evaporation,Forward,1.68,,,,29.23,20.18,19.41,Yes,,,,,,,,,
Al-Ashouri et al.,https://www.science.org/doi/abs/10.1126/science.abd4016,"SAM as HTL and conversion efficiency over 29%, LiF between C60 and pvk",11/12/2020,2020,SHJ,n-type,FZ,DSP,3,260,Rear,Textured,Planar,SiO2,,HF dip,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,,,,,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,Not clear,Not clear,Before,Sputtering,,,,,p-i-n,LiF/C60,2PACz,,-,1.27,1.08,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,Not clear,None,None,None,evaporation,Reverse,1.68,,,,29.29,20.18,19.41,Yes,,,,,,,,,
Al-Ashouri et al.,https://www.science.org/doi/abs/10.1126/science.abd4016,"SAM as HTL and conversion efficiency over 29%, LiF between C60 and pvk",11/12/2020,2020,SHJ,n-type,FZ,DSP,3,260,Rear,Textured,Planar,SiO2,,HF dip,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,,,,,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,Not clear,Not clear,Before,Sputtering,,,,,p-i-n,LiF/C60,2PACz,,-,1.27,1.08,SnO2,IZO/Ag,Ag,IZO,100,100,sputtering,Not clear,None,None,None,evaporation,Tracking,1.68,,,,29.32,20.18,19.41,Yes,,,,,,,,,
De Bastiani et al.,https://www.nature.com/articles/s41560-020-00756-8,Bifacial pervoskite/silicon tandem via bandgap engineering,11/01/2021,2021,SHJ,n-type,FZ,Textured,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-Si:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,15,sputtering,Not clear,200,5,,,,,,,a-Si:H(i),Grid,PECVD,Ag,ITO/Ag,100,350,After,evaporation,,,,,p-i-n,LiF/C60,NiOx,Not clear,-,-,1.03,SnO2,IZO/Ag,Ag,IZO,110,110,sputtering,350,Yes,Not clear,Not clear,evaporation,Forward,1.68,1800.5,18.44,75.58,25.1,,,Yes,,,,,,,,,
De Bastiani et al.,https://www.nature.com/articles/s41560-020-00756-8,Bifacial pervoskite/silicon tandem via bandgap engineering,11/01/2021,2021,SHJ,n-type,FZ,Textured,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-Si:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,15,sputtering,Not clear,200,5,,,,,,,a-Si:H(i),Grid,PECVD,Ag,ITO/Ag,100,350,After,evaporation,,,,,p-i-n,LiF/C60,NiOx,Not clear,-,-,1.03,SnO2,IZO/Ag,Ag,IZO,110,110,sputtering,350,Yes,Not clear,Not clear,evaporation,Reverse ,1.68,1802.6,18.46,75.91,25.25,,,Yes,,,,,,,,,
De Bastiani et al.,https://www.nature.com/articles/s41560-020-00756-8,Bifacial pervoskite/silicon tandem via bandgap engineering,11/01/2021,2021,SHJ,n-type,FZ,Textured,01-May,250-280,Rear,Textured,Textured,,,,RCA + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,nc-Si:H(n),PECVD,Not clear,,a-Si:H(i),PECVD,recombination,ITO,15,sputtering,Not clear,200,5,,,,,,,a-Si:H(i),Grid,PECVD,Ag,ITO/Ag,100,350,After,evaporation,,,,,p-i-n,LiF/C60,NiOx,Not clear,-,-,1.03,SnO2,IZO/Ag,Ag,IZO,110,110,sputtering,350,Yes,Not clear,Not clear,evaporation,Tracking,1.68,,,,25.21,,,Yes,,,,,,,,,
Isikgor et al.,https://www.sciencedirect.com/science/article/pii/S2542435121002488,Pvk defect passivation,16/01/2021,2021,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,25,,,,,,,,,,,,,,Ag,ITO/Ag,150,,,,,,,,p-i-n,,,,-,-,1.03,SnO2,,,IZO,100,100,,,,,,,Reverse,,,,,27.4,,,No,,,,,,,,,
